sku_id,week1,week2,week3,week4,week5
SK027qmL,1 ,2 ,2 ,3 ,1 
SK027qRw,1 ,1 ,2 ,2 ,1 
SK028hCV,4 ,5 ,7 ,9 ,3 
SK029fl4,1 ,1 ,2 ,2 ,1 
SK02DhPo,2 ,3 ,4 ,5 ,2 
SK02eFnf,2 ,2 ,3 ,4 ,1 
SK02g1ho,2 ,2 ,3 ,4 ,1 
SK02Hz9A,13 ,17 ,22 ,29 ,10 
SK02iAXM,1 ,2 ,2 ,3 ,1 
SK02iv1h,1 ,2 ,3 ,3 ,1 
SK02IzXJ,1 ,2 ,2 ,3 ,1 
SK02J4rm,103 ,134 ,175 ,230 ,77 
SK02J5TX,1 ,1 ,2 ,3 ,1 
SK02kD1o,1 ,1 ,1 ,1 ,0 
SK02KhT7,1 ,2 ,2 ,3 ,1 
SK02kN7W,4 ,5 ,7 ,9 ,3 
SK02KUJB,1 ,2 ,2 ,3 ,1 
SK02MA1d,4 ,5 ,6 ,8 ,3 
SK02Mhj8,1 ,1 ,1 ,2 ,1 
SK02NPVj,3 ,4 ,5 ,6 ,2 
SK02OkmT,1 ,1 ,1 ,1 ,0 
SK02OMwE,7 ,10 ,13 ,17 ,6 
SK02oVOT,1 ,2 ,2 ,3 ,1 
SK02q7Ni,2 ,2 ,3 ,4 ,1 
SK02QIzo,1 ,2 ,2 ,3 ,1 
SK02R6rl,1 ,1 ,2 ,2 ,1 
SK02rdcQ,1 ,2 ,2 ,3 ,1 
SK02rRpH,1 ,1 ,1 ,1 ,0 
SK02S7jo,1 ,1 ,2 ,2 ,1 
SK02Vd96,11 ,14 ,18 ,24 ,8 
SK02VIbr,1 ,1 ,2 ,2 ,1 
SK02vq6k,1 ,2 ,2 ,3 ,1 
SK02WULn,3 ,3 ,4 ,6 ,2 
SK02xg8V,1 ,1 ,1 ,2 ,1 
SK02XSpu,1 ,1 ,2 ,2 ,1 
SK02zcC1,2 ,2 ,3 ,4 ,1 
SK02zH83,1 ,1 ,2 ,2 ,1 
SK02zZ1E,1 ,1 ,2 ,2 ,1 
SK036QdV,6 ,8 ,10 ,13 ,4 
SK037pJ4,0 ,1 ,1 ,1 ,0 
SK038MYi,2 ,3 ,4 ,5 ,2 
SK039IkU,1 ,1 ,2 ,3 ,1 
SK039jCw,1 ,1 ,1 ,2 ,1 
SK03aLPi,1 ,2 ,2 ,3 ,1 
SK03BchY,2 ,2 ,3 ,4 ,1 
SK03cgOv,2 ,2 ,3 ,4 ,1 
SK03Cn72,1 ,1 ,1 ,1 ,0 
SK03DNpk,3 ,4 ,5 ,7 ,2 
SK03FrWq,16 ,20 ,27 ,35 ,12 
SK03gRL5,2 ,2 ,3 ,4 ,1 
SK03Ha6G,1 ,1 ,1 ,2 ,1 
SK03hFp7,2 ,2 ,3 ,4 ,1 
SK03igLS,1 ,2 ,2 ,3 ,1 
SK03iXrf,0 ,1 ,1 ,1 ,0 
SK03Jlu4,1 ,2 ,2 ,3 ,1 
SK03jOV1,4 ,6 ,7 ,10 ,3 
SK03kJXg,1 ,1 ,2 ,3 ,1 
SK03klWN,9 ,12 ,16 ,20 ,7 
SK03liec,1 ,2 ,2 ,3 ,1 
SK03Lsxw,1 ,1 ,2 ,2 ,1 
SK03LTAo,3 ,4 ,6 ,7 ,2 
SK03MT1G,2 ,3 ,3 ,4 ,1 
SK03P8wn,3 ,4 ,5 ,7 ,2 
SK03Pfve,0 ,0 ,0 ,1 ,0 
SK03qlKC,3 ,4 ,5 ,6 ,2 
SK03RseC,1 ,1 ,1 ,1 ,0 
SK03Shgx,28 ,37 ,48 ,63 ,21 
SK03Smxd,1 ,1 ,2 ,2 ,1 
SK03t64E,1 ,1 ,2 ,2 ,1 
SK03UmSc,1 ,1 ,2 ,3 ,1 
SK03vou5,2 ,3 ,3 ,4 ,1 
SK03vVxX,1 ,1 ,2 ,2 ,1 
SK03w1Ro,1 ,2 ,2 ,3 ,1 
SK03wanJ,2 ,2 ,3 ,4 ,1 
SK03Wi1C,1 ,1 ,2 ,2 ,1 
SK03x4Gg,4 ,5 ,6 ,8 ,3 
SK03x5Wj,1 ,2 ,2 ,3 ,1 
SK03xjNq,4 ,5 ,7 ,9 ,3 
SK03xM1a,2 ,2 ,3 ,4 ,1 
SK03xtuv,1 ,1 ,2 ,2 ,1 
SK03ySR4,1 ,1 ,2 ,2 ,1 
SK042Gec,3 ,4 ,5 ,6 ,2 
SK045OkQ,1 ,1 ,2 ,2 ,1 
SK046o7h,1 ,1 ,1 ,2 ,1 
SK047IJs,1 ,1 ,1 ,2 ,1 
SK047ZiY,1 ,1 ,2 ,2 ,1 
SK04APDn,1 ,2 ,2 ,3 ,1 
SK04bABw,1 ,1 ,1 ,2 ,1 
SK04CDNp,1 ,1 ,1 ,1 ,0 
SK04ClbA,21 ,28 ,36 ,48 ,16 
SK04dHIX,4 ,5 ,6 ,8 ,3 
SK04Dhsp,2 ,2 ,3 ,4 ,1 
SK04Hk3b,3 ,3 ,4 ,6 ,2 
SK04iSZY,9 ,11 ,15 ,20 ,7 
SK04izD7,2 ,2 ,3 ,4 ,1 
SK04JKlj,2 ,2 ,3 ,4 ,1 
SK04kcx1,1 ,2 ,2 ,3 ,1 
SK04kMPR,1 ,1 ,2 ,2 ,1 
SK04KnNd,1 ,1 ,1 ,2 ,1 
SK04LAZh,1 ,1 ,1 ,1 ,0 
SK04lmdW,1 ,1 ,1 ,1 ,0 
SK04lzqV,1 ,1 ,1 ,1 ,0 
SK04miMw,28 ,36 ,48 ,62 ,21 
SK04MxNL,0 ,0 ,1 ,1 ,0 
SK04oE7H,1 ,1 ,1 ,2 ,1 
SK04pCGt,1 ,1 ,2 ,2 ,1 
SK04PriJ,20 ,26 ,34 ,45 ,15 
SK04q7aD,1 ,2 ,2 ,3 ,1 
SK04QLgf,18 ,23 ,30 ,39 ,13 
SK04sCp9,74 ,96 ,125 ,164 ,55 
SK04siyf,5 ,7 ,9 ,11 ,4 
SK04Sp6Q,2 ,2 ,3 ,4 ,1 
SK04SVTL,1 ,2 ,2 ,3 ,1 
SK04TJb1,1 ,1 ,2 ,2 ,1 
SK04u5Bp,2 ,3 ,3 ,4 ,1 
SK04UdNv,12 ,16 ,21 ,27 ,9 
SK04uilN,1 ,1 ,1 ,1 ,0 
SK04UJhl,1 ,1 ,2 ,2 ,1 
SK04UNPe,2 ,2 ,3 ,3 ,1 
SK04UTIZ,3 ,4 ,5 ,7 ,2 
SK04WnHS,3 ,4 ,5 ,6 ,2 
SK04X75m,1 ,2 ,2 ,3 ,1 
SK04xGyF,1 ,1 ,1 ,2 ,1 
SK04ZGnu,14 ,19 ,25 ,32 ,11 
SK052KUC,1 ,1 ,2 ,2 ,1 
SK052PVn,5 ,6 ,8 ,11 ,4 
SK053sEW,1 ,1 ,1 ,2 ,1 
SK0541Iw,1 ,1 ,1 ,2 ,1 
SK054DkJ,1 ,1 ,1 ,2 ,1 
SK058ETh,1 ,1 ,2 ,2 ,1 
SK058vNY,1 ,1 ,1 ,2 ,1 
SK059gby,1 ,1 ,2 ,3 ,1 
SK05A1st,2 ,2 ,3 ,4 ,1 
SK05AUny,2 ,2 ,3 ,4 ,1 
SK05bj8a,3 ,4 ,5 ,7 ,2 
SK05bP1t,1 ,1 ,1 ,1 ,0 
SK05cShX,1 ,1 ,2 ,2 ,1 
SK05dFBE,1 ,2 ,2 ,3 ,1 
SK05e1Sx,2 ,2 ,3 ,4 ,1 
SK05G12A,1 ,1 ,2 ,2 ,1 
SK05gBc4,1 ,1 ,2 ,2 ,1 
SK05h41O,1 ,2 ,2 ,3 ,1 
SK05I7Yl,1 ,1 ,2 ,2 ,1 
SK05Jkey,1 ,2 ,3 ,3 ,1 
SK05lOs6,1 ,2 ,2 ,3 ,1 
SK05nNET,5 ,7 ,9 ,12 ,4 
SK05ogsL,3 ,3 ,5 ,6 ,2 
SK05QS1V,1 ,1 ,2 ,2 ,1 
SK05QWlN,1 ,2 ,2 ,3 ,1 
SK05rGpc,2 ,3 ,4 ,5 ,2 
SK05sXqK,2 ,2 ,3 ,4 ,1 
SK05Uebp,1 ,1 ,2 ,2 ,1 
SK05v8Xt,1 ,1 ,1 ,2 ,1 
SK05VWbm,2 ,2 ,3 ,3 ,1 
SK05wXmN,1 ,2 ,2 ,3 ,1 
SK05X3Vs,1 ,2 ,2 ,3 ,1 
SK05ZBPK,1 ,1 ,1 ,2 ,1 
SK05zkwh,1 ,2 ,2 ,3 ,1 
SK05ZSDw,1 ,1 ,1 ,2 ,1 
SK061H7Z,2 ,3 ,3 ,4 ,1 
SK0648kS,16 ,20 ,26 ,35 ,12 
SK06b78B,1 ,1 ,1 ,2 ,1 
SK06bY3E,1 ,1 ,2 ,2 ,1 
SK06C9zn,1 ,2 ,2 ,3 ,1 
SK06CJRk,2 ,2 ,3 ,4 ,1 
SK06CkUM,1 ,1 ,1 ,2 ,1 
SK06CSZ8,1 ,1 ,1 ,1 ,0 
SK06D8Xb,2 ,2 ,3 ,4 ,1 
SK06dFyT,1 ,2 ,2 ,3 ,1 
SK06e8JI,1 ,1 ,1 ,1 ,0 
SK06ebP5,5 ,6 ,8 ,11 ,4 
SK06ezsB,1 ,2 ,2 ,3 ,1 
SK06F5yE,1 ,1 ,1 ,2 ,1 
SK06FbdE,5 ,7 ,9 ,12 ,4 
SK06fhUX,1 ,2 ,2 ,3 ,1 
SK06GNYf,1 ,2 ,2 ,3 ,1 
SK06Hkgh,2 ,2 ,3 ,4 ,1 
SK06hnKW,2 ,2 ,3 ,4 ,1 
SK06ht98,1 ,2 ,2 ,3 ,1 
SK06ihIG,2 ,2 ,3 ,3 ,1 
SK06lwxG,1 ,1 ,1 ,2 ,1 
SK06MiwG,1 ,2 ,2 ,3 ,1 
SK06MvPe,1 ,1 ,1 ,1 ,0 
SK06n1CX,1 ,1 ,2 ,2 ,1 
SK06nAbl,1 ,1 ,1 ,2 ,1 
SK06PIsv,2 ,3 ,3 ,4 ,1 
SK06PT2D,2 ,3 ,4 ,5 ,2 
SK06QJjE,1 ,2 ,2 ,3 ,1 
SK06Qux2,2 ,3 ,3 ,5 ,2 
SK06RrjH,8 ,11 ,14 ,18 ,6 
SK06TmPv,2 ,3 ,3 ,4 ,1 
SK06tOn2,2 ,3 ,4 ,5 ,2 
SK06tVhQ,8 ,11 ,14 ,19 ,6 
SK06u9Vf,1 ,2 ,2 ,3 ,1 
SK06ulRh,1 ,1 ,1 ,1 ,0 
SK06UyRq,2 ,3 ,3 ,4 ,1 
SK06vePu,1 ,1 ,2 ,2 ,1 
SK06vKmb,2 ,2 ,3 ,4 ,1 
SK06WrE8,39 ,51 ,67 ,87 ,29 
SK06YTgJ,1 ,1 ,2 ,2 ,1 
SK06yVeM,1 ,2 ,2 ,3 ,1 
SK073iyl,1 ,1 ,2 ,2 ,1 
SK074GOZ,1 ,2 ,2 ,3 ,1 
SK074tvC,1 ,1 ,2 ,2 ,1 
SK075Hgo,1 ,2 ,2 ,3 ,1 
SK078NSL,1 ,1 ,2 ,2 ,1 
SK078wxp,1 ,1 ,1 ,2 ,1 
SK07cKRx,3 ,3 ,4 ,6 ,2 
SK07d6Gi,1 ,1 ,2 ,2 ,1 
SK07dTYc,2 ,2 ,3 ,4 ,1 
SK07hPDI,1 ,1 ,2 ,3 ,1 
SK07iGbg,1 ,1 ,1 ,1 ,0 
SK07IMh5,1 ,1 ,2 ,2 ,1 
SK07ipPx,1 ,1 ,1 ,1 ,0 
SK07J1Nh,1 ,2 ,2 ,3 ,1 
SK07Jp3i,1 ,1 ,2 ,2 ,1 
SK07jZXi,0 ,1 ,1 ,1 ,0 
SK07KEOq,1 ,1 ,1 ,1 ,0 
SK07lypL,1 ,1 ,1 ,1 ,0 
SK07mptg,3 ,4 ,5 ,7 ,2 
SK07ne3i,2 ,2 ,3 ,4 ,1 
SK07nhL5,2 ,2 ,3 ,3 ,1 
SK07oOEx,2 ,2 ,3 ,4 ,1 
SK07osmp,1 ,1 ,2 ,2 ,1 
SK07r2Cx,1 ,1 ,2 ,2 ,1 
SK07Rwj3,2 ,3 ,3 ,5 ,2 
SK07s3Hl,2 ,2 ,3 ,4 ,1 
SK07sGrW,2 ,3 ,4 ,5 ,2 
SK07wpe8,1 ,2 ,2 ,3 ,1 
SK07yHve,2 ,3 ,4 ,5 ,2 
SK07yXmp,1 ,2 ,2 ,3 ,1 
SK07zJOA,9 ,11 ,15 ,19 ,6 
SK07ZLcs,1 ,1 ,2 ,2 ,1 
SK081bTd,2 ,2 ,3 ,4 ,1 
SK083jZ9,1 ,2 ,2 ,3 ,1 
SK084Mn2,1 ,1 ,1 ,1 ,0 
SK084N9r,1 ,2 ,2 ,3 ,1 
SK084rBF,1 ,2 ,2 ,3 ,1 
SK0875zy,1 ,2 ,2 ,3 ,1 
SK087lF9,1 ,2 ,2 ,3 ,1 
SK089eD7,1 ,1 ,1 ,2 ,1 
SK08AejJ,1 ,2 ,2 ,3 ,1 
SK08ASuR,23 ,30 ,39 ,51 ,17 
SK08bnp1,2 ,3 ,4 ,5 ,2 
SK08EMQ5,1 ,2 ,2 ,3 ,1 
SK08Gcxv,1 ,2 ,2 ,3 ,1 
SK08iSov,4 ,5 ,6 ,8 ,3 
SK08Ji1u,1 ,1 ,2 ,3 ,1 
SK08k37F,1 ,1 ,2 ,2 ,1 
SK08KGpI,1 ,1 ,1 ,2 ,1 
SK08KrgZ,6 ,8 ,11 ,14 ,5 
SK08KtUW,2 ,3 ,3 ,4 ,1 
SK08l24j,1 ,1 ,1 ,2 ,1 
SK08lEXR,1 ,1 ,1 ,2 ,1 
SK08MStB,2 ,2 ,3 ,4 ,1 
SK08Nwqj,1 ,1 ,1 ,2 ,1 
SK08pNC3,1 ,2 ,2 ,3 ,1 
SK08r4uo,1 ,1 ,2 ,2 ,1 
SK08srK5,1 ,2 ,2 ,3 ,1 
SK08sWLz,1 ,1 ,2 ,2 ,1 
SK08TKwA,2 ,2 ,3 ,4 ,1 
SK08TosH,2 ,2 ,3 ,4 ,1 
SK08uvAP,1 ,1 ,1 ,2 ,1 
SK08vm6F,4 ,5 ,6 ,8 ,3 
SK08WEDQ,1 ,1 ,2 ,2 ,1 
SK08WgSd,1 ,1 ,2 ,2 ,1 
SK08Xfhi,2 ,3 ,4 ,5 ,2 
SK0924wD,7 ,8 ,11 ,15 ,5 
SK093twd,1 ,1 ,2 ,3 ,1 
SK094CP7,1 ,1 ,2 ,2 ,1 
SK094w3j,6 ,8 ,10 ,13 ,4 
SK096s2F,0 ,1 ,1 ,1 ,0 
SK0973Yh,2 ,2 ,3 ,4 ,1 
SK098je6,1 ,1 ,2 ,3 ,1 
SK09awiJ,1 ,2 ,2 ,3 ,1 
SK09AWMQ,1 ,1 ,1 ,2 ,1 
SK09BRnP,8 ,10 ,13 ,17 ,6 
SK09bvhM,3 ,4 ,5 ,6 ,2 
SK09EzU2,1 ,2 ,2 ,3 ,1 
SK09FgU7,2 ,3 ,3 ,5 ,2 
SK09hEZL,1 ,1 ,1 ,2 ,1 
SK09iKm6,1 ,1 ,1 ,2 ,1 
SK09k6yi,2 ,3 ,4 ,5 ,2 
SK09kYdn,1 ,1 ,1 ,2 ,1 
SK09LoGg,1 ,1 ,1 ,1 ,0 
SK09lzPA,1 ,1 ,1 ,2 ,1 
SK09MJu8,1 ,1 ,1 ,2 ,1 
SK09MP3V,1 ,1 ,2 ,2 ,1 
SK09mRw7,1 ,1 ,2 ,2 ,1 
SK09mWaS,1 ,1 ,1 ,1 ,0 
SK09nYyf,1 ,1 ,2 ,2 ,1 
SK09oICO,1 ,1 ,2 ,2 ,1 
SK09prk7,2 ,2 ,3 ,3 ,1 
SK09rghc,1 ,2 ,2 ,3 ,1 
SK09STQX,4 ,5 ,6 ,8 ,3 
SK09tFgN,0 ,0 ,1 ,1 ,0 
SK09tNPz,1 ,2 ,2 ,3 ,1 
SK09Uv1R,5 ,6 ,8 ,11 ,4 
SK09vWVF,5 ,6 ,8 ,10 ,3 
SK09WEod,9 ,12 ,16 ,21 ,7 
SK09Wk7R,10 ,13 ,18 ,23 ,8 
SK09WXRw,3 ,5 ,6 ,8 ,3 
SK09wYmb,1 ,2 ,2 ,3 ,1 
SK09wzua,2 ,3 ,3 ,5 ,2 
SK09XcPI,1 ,1 ,2 ,2 ,1 
SK09XQie,2 ,3 ,4 ,5 ,2 
SK09YBpC,1 ,2 ,2 ,3 ,1 
SK09YTyh,1 ,1 ,1 ,1 ,0 
SK09Z42x,3 ,4 ,5 ,7 ,2 
SK09zm8B,3 ,4 ,5 ,6 ,2 
SK0a2nNy,1 ,2 ,2 ,3 ,1 
SK0a3RKM,1 ,2 ,3 ,3 ,1 
SK0a4im3,1 ,1 ,2 ,2 ,1 
SK0A4Y8Z,2 ,3 ,3 ,4 ,1 
SK0a5iHU,1 ,1 ,2 ,2 ,1 
SK0a6qvX,2 ,2 ,3 ,4 ,1 
SK0A8MVT,7 ,9 ,12 ,15 ,5 
SK0a8n6u,1 ,1 ,1 ,2 ,1 
SK0A9HXW,1 ,1 ,2 ,2 ,1 
SK0A9wBv,2 ,2 ,3 ,4 ,1 
SK0AaJFw,1 ,1 ,1 ,2 ,1 
SK0Ab2Si,1 ,2 ,2 ,3 ,1 
SK0ABgCM,1 ,1 ,1 ,2 ,1 
SK0AbTBK,1 ,1 ,1 ,2 ,1 
SK0ac2lE,0 ,1 ,1 ,1 ,0 
SK0ac8Qq,1 ,1 ,2 ,2 ,1 
SK0ACEJa,1 ,1 ,2 ,2 ,1 
SK0ACmHY,1 ,2 ,2 ,3 ,1 
SK0ACSvm,1 ,1 ,1 ,2 ,1 
SK0ADEPU,0 ,0 ,1 ,1 ,0 
SK0adhys,1 ,1 ,1 ,1 ,0 
SK0AdNQg,1 ,2 ,2 ,3 ,1 
SK0AdUMu,2 ,3 ,4 ,5 ,2 
SK0ADynd,7 ,9 ,12 ,16 ,5 
SK0aedBb,1 ,1 ,1 ,2 ,1 
SK0AEPIk,1 ,1 ,2 ,2 ,1 
SK0AF2lX,2 ,2 ,3 ,4 ,1 
SK0aFBbT,2 ,2 ,3 ,4 ,1 
SK0AfdEF,23 ,30 ,40 ,52 ,17 
SK0AfDmE,1 ,2 ,2 ,3 ,1 
SK0AGLkE,1 ,1 ,1 ,1 ,0 
SK0agupx,2 ,2 ,3 ,4 ,1 
SK0aHb5U,1 ,1 ,1 ,2 ,1 
SK0AiB5l,1 ,2 ,2 ,3 ,1 
SK0AiGTw,3 ,4 ,5 ,6 ,2 
SK0aIKpA,2 ,3 ,3 ,4 ,1 
SK0AjkIe,1 ,1 ,2 ,2 ,1 
SK0AJYkL,6 ,8 ,10 ,13 ,4 
SK0ak4de,2 ,2 ,3 ,3 ,1 
SK0AkbW9,1 ,1 ,1 ,2 ,1 
SK0akQDc,6 ,7 ,10 ,13 ,4 
SK0akRzA,1 ,1 ,1 ,2 ,1 
SK0AL6ZI,3 ,4 ,5 ,6 ,2 
SK0AlJNR,5 ,6 ,8 ,10 ,3 
SK0ALvZ7,2 ,3 ,4 ,5 ,2 
SK0Alykq,1 ,1 ,1 ,2 ,1 
SK0am56z,1 ,1 ,2 ,2 ,1 
SK0AMBy5,1 ,2 ,2 ,3 ,1 
SK0AMESp,2 ,3 ,4 ,5 ,2 
SK0amJjN,1 ,1 ,1 ,1 ,0 
SK0AMlie,2 ,2 ,3 ,4 ,1 
SK0amp2s,1 ,1 ,1 ,2 ,1 
SK0anAIy,1 ,2 ,2 ,3 ,1 
SK0anb5W,1 ,2 ,2 ,3 ,1 
SK0anNDW,1 ,2 ,2 ,3 ,1 
SK0aNV6Q,2 ,3 ,4 ,5 ,2 
SK0aNXkE,1 ,2 ,3 ,3 ,1 
SK0AodMm,1 ,1 ,2 ,2 ,1 
SK0AolmG,2 ,2 ,3 ,4 ,1 
SK0AOPpe,1 ,1 ,2 ,2 ,1 
SK0ap3xJ,1 ,1 ,2 ,3 ,1 
SK0AP9EO,17 ,22 ,29 ,38 ,13 
SK0ApO4Q,0 ,1 ,1 ,1 ,0 
SK0AqRok,19 ,25 ,33 ,43 ,14 
SK0AqxjZ,1 ,1 ,1 ,1 ,0 
SK0arTiQ,3 ,3 ,5 ,6 ,2 
SK0AtkZW,1 ,2 ,2 ,3 ,1 
SK0Aug3L,1 ,2 ,2 ,3 ,1 
SK0AUQOo,1 ,1 ,1 ,1 ,0 
SK0AUWGY,1 ,2 ,2 ,3 ,1 
SK0AvRbW,1 ,1 ,1 ,1 ,0 
SK0AVZbr,1 ,2 ,2 ,3 ,1 
SK0AwezE,1 ,1 ,2 ,3 ,1 
SK0aWk1o,1 ,2 ,2 ,3 ,1 
SK0AX1Nl,1 ,1 ,2 ,3 ,1 
SK0AX7PW,1 ,2 ,2 ,3 ,1 
SK0axfoi,2 ,3 ,4 ,5 ,2 
SK0AXVE7,0 ,0 ,1 ,1 ,0 
SK0aXWDm,2 ,2 ,3 ,4 ,1 
SK0AYcHo,7 ,9 ,11 ,15 ,5 
SK0ayJfA,1 ,1 ,2 ,3 ,1 
SK0ayPGA,1 ,1 ,1 ,1 ,0 
SK0ayQJz,1 ,1 ,1 ,1 ,0 
SK0aySkh,1 ,1 ,2 ,2 ,1 
SK0AYspD,3 ,4 ,5 ,6 ,2 
SK0AzhYx,2 ,2 ,3 ,3 ,1 
SK0aZIG8,3 ,4 ,5 ,7 ,2 
SK0azLb8,1 ,1 ,1 ,1 ,0 
SK0AzUua,1 ,2 ,2 ,3 ,1 
SK0AZYgG,1 ,1 ,1 ,1 ,0 
SK0B15p8,1 ,1 ,1 ,1 ,0 
SK0B1EQJ,4 ,5 ,6 ,8 ,3 
SK0b1IkN,2 ,3 ,4 ,5 ,2 
SK0b1PHV,7 ,9 ,12 ,16 ,5 
SK0b1Wmy,6 ,8 ,11 ,15 ,5 
SK0b2f6N,1 ,2 ,2 ,3 ,1 
SK0b2qhQ,2 ,2 ,3 ,4 ,1 
SK0B2WEU,2 ,2 ,3 ,4 ,1 
SK0b32EQ,1 ,1 ,2 ,2 ,1 
SK0B34AT,1 ,1 ,1 ,2 ,1 
SK0B3CqQ,1 ,1 ,1 ,1 ,0 
SK0B3VtQ,1 ,1 ,2 ,2 ,1 
SK0b43dU,1 ,2 ,2 ,3 ,1 
SK0b4gRv,1 ,2 ,2 ,3 ,1 
SK0B4JKT,2 ,2 ,3 ,4 ,1 
SK0b4n5G,1 ,1 ,1 ,2 ,1 
SK0b5Ttq,1 ,1 ,1 ,2 ,1 
SK0B5vEg,2 ,2 ,3 ,4 ,1 
SK0b6pYf,1 ,2 ,2 ,3 ,1 
SK0b6YUB,1 ,1 ,1 ,2 ,1 
SK0b7ZnR,2 ,3 ,4 ,5 ,2 
SK0B8q7V,1 ,1 ,2 ,2 ,1 
SK0b8UEc,1 ,2 ,2 ,3 ,1 
SK0B8WU9,1 ,1 ,2 ,3 ,1 
SK0B9fIH,1 ,2 ,2 ,3 ,1 
SK0B9J1m,2 ,3 ,4 ,5 ,2 
SK0B9x1P,1 ,1 ,1 ,2 ,1 
SK0bAePd,1 ,1 ,2 ,3 ,1 
SK0BajMl,2 ,2 ,3 ,4 ,1 
SK0BaP2p,2 ,2 ,3 ,4 ,1 
SK0BAplf,0 ,1 ,1 ,1 ,0 
SK0bAZyM,2 ,2 ,3 ,4 ,1 
SK0bBgTK,1 ,1 ,1 ,1 ,0 
SK0bCgr5,3 ,3 ,4 ,6 ,2 
SK0bCqai,1 ,1 ,2 ,2 ,1 
SK0bD2QK,2 ,3 ,4 ,5 ,2 
SK0BD3Ru,1 ,1 ,2 ,2 ,1 
SK0Bd9Lk,4 ,5 ,6 ,8 ,3 
SK0BDxoJ,2 ,3 ,3 ,4 ,1 
SK0be1ta,3 ,4 ,6 ,7 ,2 
SK0BE8bR,1 ,1 ,2 ,2 ,1 
SK0bfFpl,77 ,100 ,131 ,172 ,57 
SK0bg6kT,1 ,2 ,2 ,3 ,1 
SK0BG6un,1 ,1 ,1 ,2 ,1 
SK0BGJC2,1 ,2 ,2 ,3 ,1 
SK0BgTAu,4 ,6 ,8 ,10 ,3 
SK0bh8dk,1 ,1 ,2 ,2 ,1 
SK0BhAqF,5 ,7 ,9 ,12 ,4 
SK0bhgYq,0 ,1 ,1 ,1 ,0 
SK0BHwFb,1 ,2 ,2 ,3 ,1 
SK0biamr,2 ,3 ,4 ,5 ,2 
SK0bInfu,1 ,2 ,2 ,3 ,1 
SK0bIUAQ,4 ,6 ,7 ,9 ,3 
SK0BiwIf,1 ,1 ,2 ,2 ,1 
SK0bjJ1p,1 ,2 ,2 ,3 ,1 
SK0BjnCG,1 ,1 ,2 ,2 ,1 
SK0bKk27,2 ,2 ,3 ,4 ,1 
SK0BleVZ,1 ,1 ,1 ,2 ,1 
SK0bLh45,2 ,2 ,3 ,3 ,1 
SK0BlnXh,1 ,2 ,2 ,3 ,1 
